shortcode,date,title,price_mxn,price_usd,is_sold,caption_preview,url
Cx6e2wnutd2,2023-10-02,Fender Stratocaster Ultra 1993 - Flamed Sunburst with Ebony Fingerboard and Lace Sensor Pickups,35999,,NO,guitarshome   130w Fender Stratocaster Ultra 1993 - Flamed Sunburst with Ebony F,https://www.instagram.com/p/Cx6e2wnutd2/
Cx52ZMruRVb,2023-10-02,Paul Reed Smith PRS DGT Dave Grissom Trem - Antique White,71999,,NO,guitarshome   130w Paul Reed Smith PRS DGT Dave Grissom Trem - Antique White ***,https://www.instagram.com/p/Cx52ZMruRVb/
Cx4N-nbu21u,2023-10-02,Gibson Les Paul Classic 2016 Limited Plain top - HoneyBurst,45999,,NO,guitarshome   130w Gibson Les Paul Classic 2016 Limited Plain top - HoneyBurst *,https://www.instagram.com/p/Cx4N-nbu21u/
Cx0pchRONn3,2023-09-30,Gibson Les Paul Deluxe 1975 All Original in Wine Red,81999,,NO,"guitarshome   130w Gibson Les Paul Deluxe 1975 All Original in Wine Red *** $81,",https://www.instagram.com/p/Cx0pchRONn3/
Cwyt1OSO0OV,2023-09-05,Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2021 – Iced Tea Burst VOS,91999,,NO,guitarshome   134w Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2021 – Iced ,https://www.instagram.com/p/Cwyt1OSO0OV/
CwyPsahuwXO,2023-09-04,Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2020 – Limited Believer Burst VOS,91999,,NO,guitarshome   134w Gibson Les Paul Historic 1958 Custom Shop ’58 R8 2020 – Limit,https://www.instagram.com/p/CwyPsahuwXO/
CwxvlvJOhyj,2023-09-04,Gibson Les Paul Standard '60s 2022 Limited Edition - Honey Lemon Burst,58999,,NO,guitarshome   134w Gibson Les Paul Standard '60s 2022 Limited Edition - Honey Le,https://www.instagram.com/p/CwxvlvJOhyj/
CwwPSWNONd5,2023-09-04,Gibson Custom Shop 60th Anniversary 1961 SG Les Paul Standard Sideways Vibrola VOS Cherry Red,91999,,NO,guitarshome   134w Gibson Custom Shop 60th Anniversary 1961 SG Les Paul Standard,https://www.instagram.com/p/CwwPSWNONd5/
CwwFv6auRyC,2023-09-04,Gibson Les Paul Historic 1958 R8 Custom Shop '58 2007 - Cherry Burst,81999,,NO,guitarshome   134w Gibson Les Paul Historic 1958 R8 Custom Shop '58 2007 - Cherr,https://www.instagram.com/p/CwwFv6auRyC/
CwvOD51OkcK,2023-09-03,Fender Telecaster Thinline Custom Shop 50's Tv Jones - Vintage White Gold,79999,,NO,guitarshome   134w Fender Telecaster Thinline Custom Shop 50's Tv Jones - Vintag,https://www.instagram.com/p/CwvOD51OkcK/
CwsTrWdumDQ,2023-09-02,Paul Reed Smith PRS Wood Library Paul's Guitar Quilt Top Special Edition - Mccarty Sunburst,91999,,NO,guitarshome   134w Paul Reed Smith PRS Wood Library Paul's Guitar Quilt Top Spec,https://www.instagram.com/p/CwsTrWdumDQ/
Cws8iyGuRkv,2023-09-02,Gibson Les Paul Standard Slash Signature Collection Appetite,60999,,NO,guitarshome   134w Gibson Les Paul Standard Slash Signature Collection Appetite ,https://www.instagram.com/p/Cws8iyGuRkv/
CwrENgiO2k0,2023-09-02,Paul Reed Smith PRS Wood library Custom 22 Quilt 10 Top - Obsidian,,,NO,guitarshome   135w Paul Reed Smith PRS Wood library Custom 22 Quilt 10 Top - Obs,https://www.instagram.com/p/CwrENgiO2k0/
